Date,Workout Type,Exercise,Reps and Sets,Weight (Set 1),Reps (Set 1),Weight (Set 2),Reps (Set 2),Weight (Set 3),Reps (Set 3),Weight (Set 4),Reps (Set 4),Weight (Set 5),Reps (Set 5),Note
2/1/2023,Heavy Pull,Sitting stretch curls,5 Sets,,8,,6,,5,,4,,4,extra 4
2/1/2023,-Superset-,,,,,,,,,,,,,
2/1/2023,Heavy Pull,Wide pull ups,4 Sets,Bodyweight,8,Bodyweight,8,Bodyweight,5,Bodyweight,4,,,
2/1/2023,Heavy Pull,Ez bar negative curls,3 Sets,60.,8,60.,6,60.,5,,,,,30 on each side.
2/1/2023,Heavy Pull,Sitting row machine,3 Sets,90.,,90.,,90.,,,,,,2 45s on each side
,,,,,,,,,,,,,,
2/8/2023,Heavy Pull,Regular curls,4 Sets,40.,7,40.,5,35.,5,35.,4,,,"Gonna try 40 this week for the first time. Switching to 35 after 2nd set. 5+ slow rep, 4+ slow rep. Try to incorporate a lat in here next time"
2/8/2023,Heavy Pull,Regular pull ups,3xFail,Bodyweight,7,Bodyweight,6,Bodyweight,5,,,,,"not wide, focusing on middle upper back"
2/8/2023,Heavy Pull,"Sitting ""high pull"" machine by stairs",2 Sets,40.,8,40.,6,,,,,,,Warm up set - then 40s
2/8/2023,-Superset-,,,,,,,,,,,,,
2/8/2023,Heavy Pull,Chin ups,3xFail,Bodyweight,,Bodyweight,,Bodyweight,,,,,,
2/8/2023,Heavy Pull,Curls,4xFail,35.,8,35.,8,40.,,40.,,,,35s. Did 8x2 Trying 40s now.
2/8/2023,Heavy Pull,Regular pull ups,3xFail,Bodyweight,,Bodyweight,,Bodyweight,,,,,,not wide focusing on upper middle back
2/8/2023,Heavy Pull,"Sitting ""high pull"" by stairs",4xFail,40.,8,40.,,40.,,40.,,,,40?
2/8/2023,-Superset-,,,,,,,,,,,,,
2/8/2023,Heavy Pull,Chin ups,3xFail,Bodyweight,,Bodyweight,,Bodyweight,,,,,,
,,,,,,,,,,,,,,
3/29/2023,Heavy Pull,Curls,4xFail,40.,8,40.,6,40.,5,40.,4,,,"40s. Was perfect, keep doin it till we can hit 45"
3/29/2023,Heavy Pull,Regular pull ups,3xFail,Bodyweight,8,Bodyweight,6,Bodyweight,6,,,,,not wide focusing on upper middle back.
3/29/2023,Heavy Pull,Sitting pulling rows,4xFail,70.,8,80.,9,90.,6,80.,6,,,Do 80 4 sets perfectly next time
3/29/2023,Heavy Pull,Chin ups,3xFail,Bodyweight,7,Bodyweight,5,Bodyweight,,,,,,
3/29/2023,Heavy Pull,Sleds,4 Sets,,40yd,,40yd,,40yd,,40yd,,,
,,,,,,,,,,,,,,
4/5/2023,Heavy Pull,Sitting stretch curls,4 Sets,35.,8,35.,6,35.,5,35.,4,,,Perfect weight. Maybe 40 next time??
4/5/2023,Heavy Pull,Deadlifts,4xFail,185.,8,185.,,,,,,,,Got 185 2 sets. Haven't done em in a while try 4 sets next week same thing.
4/5/2023,Heavy Pull,Preacher curls,4 Sets,70.,8,70.,6,70.,5,70.,4,,,on machine
4/5/2023,-Superset-,,,,,,,,,,,,,cuz we ran outta time
4/5/2023,Heavy Pull,Sitting overhead pull-downs,4xFail,100.,8,100.,,100.,,100.,,,,
,,,,,,,,,,,,,,
4/11/2023,Heavy Pull,Standing bb,4xFail,70.,8,70.,,70.,,70.,,,,
4/11/2023,Heavy Pull,Bb standing rows,4xFail,100.,8,100.,,100.,,100.,,,,Can probs do 110 next time
4/11/2023,Heavy Pull,Preacher curls,4 Sets,70.,8,70.,6,70.,5,70.,4,,,
4/11/2023,-Superset-,,,,,,,,,,,,,
4/11/2023,Heavy Pull,Close grip pull downs,3 Sets,,,,,,,,,,,
,,,,,,,,,,,,,,
4/19/2023,Heavy Pull,Sitting stretch curls,4 Sets,40.,8,40.,6,35.,5,35.,4,,,Started 40s first 2 sets. Then 35. Perfect weight. Maybe 40 next time?
4/19/2023,-Superset-,,,,,,,,,,,,,
4/19/2023,Heavy Pull,Shrugs,3 Sets,80.,10,80.,10,80.,10,,,,,"make sure ur focusing and going slow all the way. Arms will be sore, think about upper back/shoulders not arms."
4/19/2023,Heavy Pull,Deadlifts,4 Sets,185.,8,185.,6,185.,5,185.,4,,,Trying 185 again. Perfect.
4/19/2023,Heavy Pull,Preacher curls,4 Sets,70.,8,70.,6,70.,5,70.,4,,,on machine
4/19/2023,-Superset-,,,,,,,,,,,,,cuz we ran outta time
4/19/2023,Heavy Pull,Sitting overhead pull-downs,4xFail,100.,8,100.,,100.,,100.,,,,
,,,,,,,,,,,,,,
